"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02276V02746","Domestic","C02196V04140","Region of Residence","UNIT","VALUE"
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","01","Domestic","IE04","Northern and Western","Thousand","652"
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","01","Domestic","IE041","Border","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","01","Domestic","IE042","West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","01","Domestic","IE05","Southern","Thousand","1273"
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","01","Domestic","IE051","Mid-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","01","Domestic","IE052","South-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","01","Domestic","IE053","South-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","01","Domestic","IE06","Eastern and Midland","Thousand","1881"
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","01","Domestic","IE061","Dublin","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","01","Domestic","IE062","Mid-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","01","Domestic","IE063","Midland","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","02","Outbound","-","State","Thousand","2691"
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","02","Outbound","IE04","Northern and Western","Thousand","351"
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","02","Outbound","IE041","Border","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","02","Outbound","IE042","West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","02","Outbound","IE05","Southern","Thousand","713"
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","02","Outbound","IE051","Mid-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","02","Outbound","IE052","South-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","02","Outbound","IE053","South-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","02","Outbound","IE06","Eastern and Midland","Thousand","1627"
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","02","Outbound","IE061","Dublin","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","02","Outbound","IE062","Mid-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20183","2018Q3","02","Outbound","IE063","Midland","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","01","Domestic","-","State","Thousand","2441"
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","01","Domestic","IE04","Northern and Western","Thousand","411"
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","01","Domestic","IE041","Border","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","01","Domestic","IE042","West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","01","Domestic","IE05","Southern","Thousand","825"
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","01","Domestic","IE051","Mid-West","Thousand",""
